REGIONID,CONSTELLATIONID,SOLARSYSTEMID,SOLARSYSTEMNAME,SECURITY
10000002,20000020,30000140,Maurasi,0.912748
10000002,20000020,30000141,Kisogo,1
10000002,20000020,30000142,Jita,0.945913
10000002,20000020,30000143,Niyabainen,0.963924
10000002,20000020,30000144,Perimeter,0.953123
10000002,20000020,30000145,New Caldari,1
10000002,20000021,30000146,Saisio,0.65244
10000002,20000021,30000147,Abagawa,0.625298
10000002,20000021,30000148,Jakanerva,0.743252
10000002,20000021,30000149,Gekutami,0.699187
10000002,20000021,30000150,Hurtoken,0.585978
10000002,20000021,30000151,Uoyonen,0.69878
10000002,20000021,30000152,Hampinen,0.541327
10000002,20000022,30000153,Poinen,0.558053
10000002,20000022,30000154,Liekuri,0.600608
10000002,20000022,30000155,Obanen,0.561732
10000002,20000022,30000156,Josameto,0.577656
10000002,20000022,30000157,Otela,0.531907
10000002,20000022,30000158,Olo,0.676041
10000002,20000023,30000159,Ikami,0.532008
10000002,20000023,30000160,Reisen,0.518561
10000002,20000023,30000161,Purjola,0.520527
10000002,20000023,30000162,Maila,0.440715
10000002,20000023,30000163,Akora,0.324625
10000002,20000023,30000164,Messoya,0.315086
10000002,20000024,30000165,Ishisomo,0.650832
10000002,20000024,30000166,Airmia,0.623113
10000002,20000024,30000167,Sakkikainen,0.594889
10000002,20000024,30000168,Friggi,0.509153
10000002,20000024,30000169,Ihakana,0.380809
10000002,20000024,30000170,Vahunomi,0.531592
10000002,20000024,30000171,Otitoh,0.481667
10000002,20000024,30000172,Otomainen,0.479159
10000002,20000025,30000173,Vattuolen,0.708073
10000002,20000025,30000174,Onuse,0.740427
10000002,20000025,30000175,Soshin,0.634221
10000002,20000025,30000176,Keikaken,0.721319
10000002,20000025,30000177,Ukkalen,0.64512
10000002,20000025,30000178,Akkilen,0.689046
10000002,20000025,30000179,Silen,0.522203
10000002,20000026,30000180,Osmon,0.680264
10000002,20000026,30000181,Korsiki,0.643166
10000002,20000026,30000182,Inaya,0.55235
10000002,20000026,30000183,Nuken,0.761306
10000002,20000026,30000184,Uminas,0.483909
10000002,20000026,30000185,Airaken,0.503992
10000002,20000026,30000186,Oijanen,0.351969
10000002,20000026,30000187,Wuos,0.561774
10000002,20000027,30000188,Hentogaira,0.566958
10000002,20000027,30000189,Kiainti,0.528522
10000002,20000027,30000190,Vasala,0.493712
10000002,20000027,30000191,Walvalin,0.378683
10000002,20000027,30000192,Otanuomi,0.372287
10000002,20000027,30000193,Vouskiaho,0.500279
10000002,20000027,30000194,Otsela,0.3844
10000002,20000028,30000195,Tasti,0.282291
10000002,20000028,30000196,Otosela,0.238157
10000002,20000028,30000197,Uemon,0.197447
10000002,20000028,30000198,Paala,0.134379
10000002,20000028,30000199,Fuskunen,0.224637
10000002,20000028,30000200,Akkio,0.162151
10000002,20000029,30000201,Uchoshi,0.474179
10000002,20000029,30000202,Mastakomon,0.456966
10000002,20000029,30000203,Eruka,0.417261
10000002,20000029,30000204,Ohkunen,0.384887
10000002,20000029,30000205,Obe,0.346931
10000002,20000029,30000206,Wirashoda,0.493636
10000002,20000029,30000207,Osaa,0.329199
10000003,20000030,30000208,LZ-6SU,-0.172783
10000003,20000030,30000209,MC6O-F,-0.280435
10000003,20000030,30000210,U54-1L,-0.26807
10000003,20000030,30000211,B-588R,-0.15477
10000003,20000030,30000212,NCGR-Q,-0.260517
10000003,20000030,30000213,G-LOIT,-0.157009
10000003,20000030,30000214,HE-V4V,-0.214403
10000003,20000031,30000215,N-HSK0,-0.36044
10000003,20000031,30000216,05R-7A,-0.401776
10000003,20000031,30000217,7-UH4Z,-0.363871
10000003,20000031,30000218,5ZO-NZ,-0.303461
10000003,20000031,30000219,FS-RFL,-0.370816
10000003,20000031,30000220,Y0-BVN,-0.439537
10000003,20000031,30000221,X97D-W,-0.427645
10000003,20000032,30000222,0-R5TS,-0.218627
10000003,20000032,30000223,H-UCD1,-0.172229
10000003,20000032,30000224,7-K5EL,-0.150502
10000003,20000032,30000225,H-5GUI,-0.140515
10000003,20000032,30000226,FH-TTC,-0.137553
10000003,20000032,30000227,FMBR-8,-0.138441
10000003,20000033,30000228,3HX-DL,-0.423819
10000003,20000033,30000229,UH-9ZG,-0.462584
10000003,20000033,30000230,NFM-0V,-0.499123
10000003,20000033,30000231,YXIB-I,-0.506995
10000003,20000033,30000232,MY-T2P,-0.377081
10000003,20000033,30000233,FA-DMO,-0.385583
10000003,20000033,30000234,GEKJ-9,-0.386354
10000003,20000033,30000235,Q-R3GP,-0.355138
10000003,20000033,30000236,N-5QPW,-0.392558
10000003,20000033,30000237,XV-8JQ,-0.394929
10000003,20000034,30000238,WBR5-R,-0.515803
10000003,20000034,30000239,4GYV-Q,-0.536556
10000003,20000034,30000240,4-HWWF,-0.473026
10000003,20000034,30000241,YMJG-4,-0.416894
10000003,20000034,30000242,8TPX-N,-0.437192
10000003,20000034,30000243,PM-DWE,-0.423653
10000003,20000035,30000244,K8X-6B,-0.430215
10000003,20000035,30000245,X445-5,-0.413754
10000003,20000035,30000246,KRUN-N,-0.386697
10000003,20000035,30000247,9OO-LH,-0.466964
10000003,20000035,30000248,V-OJEN,-0.316843
10000003,20000035,30000249,EIDI-N,-0.406106
10000003,20000035,30000250,P3EN-E,-0.27488
10000003,20000035,30000251,49-0LI,-0.320104
10000003,20000035,30000252,IPAY-2,-0.339134
10000003,20000035,30000253,DAYP-G,-0.392761
10000003,20000036,30000254,IFJ-EL,-0.291599
10000003,20000036,30000255,47L-J4,-0.261392
10000003,20000036,30000256,Q-L07F,-0.322347
10000003,20000036,30000257,E-D0VZ,-0.270339
10000003,20000036,30000258,6WW-28,-0.226656
10000003,20000036,30000259,A8A-JN,-0.270632
10000003,20000036,30000260,S-NJBB,-0.281587
10000003,20000037,30000261,T-GCGL,-0.733996
10000003,20000037,30000262,0MV-4W,-0.662741
10000003,20000037,30000263,TVN-FM,-0.645799
10000003,20000037,30000264,V-NL3K,-0.763534
10000003,20000037,30000265,AZBR-2,-0.709048
10000003,20000037,30000266,Z-8Q65,-0.774685
10000003,20000037,30000267,0J3L-V,-0.790707
10000003,20000038,30000268,H-NOU5,-0.140606
10000003,20000038,30000269,KX-2UI,-0.158274
10000003,20000038,30000270,MO-FIF,-0.113224
10000003,20000038,30000271,97-M96,-0.188873
10000003,20000038,30000272,MA-XAP,-0.09721
10000003,20000038,30000273,C-J7CR,-0.08548
10000003,20000039,30000274,Q-EHMJ,-0.153372
10000003,20000039,30000275,XSQ-TF,-0.155434
10000003,20000039,30000276,H-1EOH,-0.171275
10000003,20000039,30000277,IR-DYY,-0.159339
10000003,20000039,30000278,C-DHON,-0.123955
10000003,20000039,30000279,F-D49D,-0.190938
10000003,20000040,30000280,MQ-O27,-0.128994
10000003,20000040,30000281,H-EY0P,-0.156086
10000003,20000040,30000282,UNAG-6,-0.223542
10000003,20000040,30000283,E-SCTX,-0.208451
10000003,20000040,30000284,S6QX-N,-0.217691
10000003,20000040,30000285,IT-YAU,-0.15946
10000003,20000040,30000286,1VK-6B,-0.169139
10000003,20000040,30000287,7-PO3P,-0.257891
10000003,20000040,30000288,1W-0KS,-0.102556
10000003,20000041,30000289,669-IX,-0.270158
10000003,20000041,30000290,0R-F2F,-0.312841
10000003,20000041,30000291,R-P7KL,-0.263981
10000003,20000041,30000292,2DWM-2,-0.204039
10000003,20000041,30000293,XF-PWO,-0.312208
10000003,20000041,30000294,1N-FJ8,-0.223295
10000003,20000042,30000295,VI2K-J,-0.131782
10000003,20000042,30000296,ZLZ-1Z,-0.171072
10000003,20000042,30000297,6Y-WRK,-0.15566
10000003,20000042,30000298,RVCZ-C,-0.142496
10000003,20000042,30000299,5T-KM3,-0.165974
10000003,20000042,30000300,LS9B-9,-0.19893
10000003,20000043,30000301,1-GBBP,-0.771742
10000003,20000043,30000302,C-FP70,-0.758771
10000003,20000043,30000303,T-ZWA1,-0.751692
10000003,20000043,30000304,ZA0L-U,-0.805105
10000003,20000043,30000305,G96R-F,-0.87333
10000003,20000043,30000306,Y-ZXIO,-0.900438
10000003,20000044,30000307,B-E3KQ,-0.25547
10000003,20000044,30000308,Y5J-EU,-0.218753
10000003,20000044,30000309,O-LR1H,-0.247164
10000003,20000044,30000310,G5ED-Y,-0.266606
10000003,20000044,30000311,BR-6XP,-0.247888
10000003,20000044,30000312,8-TFDX,-0.190766
10000003,20000044,30000313,UL-4ZW,-0.408137
10000003,20000045,30000314,A-QRQT,-0.127802
10000003,20000045,30000315,WMBZ-U,-0.086599
10000003,20000045,30000316,PX5-LR,-0.171644
10000003,20000045,30000317,A3-RQ3,-0.296284
10000003,20000045,30000318,9-GBPD,-0.159623
10000003,20000045,30000319,LS-JEP,-0.243477
10000003,20000046,30000320,R-RSZZ,-0.436439
10000003,20000046,30000321,MGAM-4,-0.575365
10000003,20000046,30000322,VORM-W,-0.558546
10000003,20000046,30000323,7G-H7D,-0.357808
10000003,20000046,30000324,Q3-BAY,-0.809914
10000003,20000046,30000325,JZV-F4,-0.852424
10000004,20000047,30000326,WF-1LM,-0.0019
10000004,20000047,30000327,D95-FQ,-0.000212
10000004,20000047,30000328,ZSPJ-K,-0.000276
10000004,20000047,30000329,U1F-86,-0.000553
10000004,20000047,30000330,T-P7A6,-0.001352
10000004,20000047,30000331,Y-T3JJ,-0.000881
10000004,20000047,30000332,F3R-IA,-0.001631
10000004,20000047,30000333,74-YTJ,-0.004054
10000004,20000048,30000334,8-RS3U,-0.000464
10000004,20000048,30000335,OVFN-N,-0.000594
10000004,20000048,30000336,1Q-BBM,-0.000489
10000004,20000048,30000337,WXNC-N,-0.000554
10000004,20000048,30000338,G-EA07,-0.001057
10000004,20000048,30000339,X-L6BO,-0.001317
10000004,20000049,30000340,D-PHUA,-0.000938
10000004,20000049,30000341,3-HXHQ,-0.002486
10000004,20000049,30000342,18A-NB,-0.001639
10000004,20000049,30000343,3-J5OQ,-0.000715
10000004,20000049,30000344,GYF-GD,-0.002092
10000004,20000049,30000345,W-6TS9,-0.000613
10000004,20000049,30000346,VIG-VR,-0.001785
10000004,20000050,30000347,KX-P5C,-0.001098
10000004,20000050,30000348,N-FJBK,-0.001239
10000004,20000050,30000349,2-4ZT5,-0.001436
10000004,20000050,30000350,NVN-6F,-0.001849
10000004,20000050,30000351,09-8TH,-0.002014
10000004,20000050,30000352,TI0-AX,-0.001735
10000004,20000051,30000353,7O-POM,-0.000104
10000004,20000051,30000354,L6Q-SX,-0.000158
10000004,20000051,30000355,BFJ-TB,-0.000255
10000004,20000051,30000356,ZZ7-L6,-0.000125
10000004,20000051,30000357,L-CHVW,-0.000104
10000004,20000051,30000358,X0LN-U,-0.000496
10000004,20000051,30000359,RQAE-M,-0.000333
10000004,20000052,30000360,7CO-SA,-0.000365
10000004,20000052,30000361,4G-E5A,-0.00078
10000004,20000052,30000362,A-VWK9,-0.000224
10000004,20000052,30000363,JQHP-4,-0.000165
10000004,20000052,30000364,6Q5K-5,-0.000253
10000004,20000052,30000365,P-MVFP,-0.000172
10000004,20000053,30000366,J-Z1UW,-0.000939
10000004,20000053,30000367,W477-P,-0.000332
10000004,20000053,30000368,NQ1-BL,-0.00077
10000004,20000053,30000369,K7A-G8,-0.000665
10000004,20000053,30000370,HP-PMX,-0.00046
10000004,20000053,30000371,6BN-K9,-0.00041
10000004,20000053,30000372,WLE-PY,-0.000818
10000004,20000053,30000373,EH-HXW,-0.00034
10000004,20000053,30000374,OS-RR3,-0.000635
10000004,20000053,30000375,V4-GZL,-0.000244
10000004,20000054,30000376,4C-Z91,-0.001621
10000004,20000054,30000377,RU-97T,-1
10000004,20000054,30000378,1S-1V7,-0.000898
10000004,20000054,30000379,PE1-R1,-0.002211
10000004,20000054,30000380,Polaris,-0.000633
10000004,20000054,30000381,JB-007,-0.001171
10000004,20000055,30000382,USJ2-M,-0.000198
10000004,20000055,30000383,7M-RAL,-0.000266
10000004,20000055,30000384,LPBU-U,-0.000175
10000004,20000055,30000385,RF-342,-0.000157
10000004,20000055,30000386,J2V-XY,-0.000298
10000004,20000055,30000387,Z-JBTR,-0.00009
10000004,20000055,30000388,S-QNXH,-0.000128
10000004,20000056,30000389,S94-X8,-0.000204
10000004,20000056,30000390,J-YQEC,-0.000331
10000004,20000056,30000391,8MX-OR,-0.000437
10000004,20000056,30000392,97YC-C,-0.000498
10000004,20000056,30000393,V-AMD5,-0.000506
10000004,20000056,30000394,U-JC8X,-0.00021
10000004,20000057,30000395,1HH3-E,-0.000071
10000004,20000057,30000396,DUIU-Q,-0.00005
10000004,20000057,30000397,LQH0-H,-0.000031
10000004,20000057,30000398,FRW3-2,-0.000037
10000004,20000057,30000399,9MX-1C,-0.000042
10000004,20000057,30000400,IED-4U,-0.000055
10000004,20000057,30000401,N-9EOQ,-0.000031
10000004,20000058,30000402,6F3-TK,-0.000094
10000004,20000058,30000403,2E0P-2,-0.000053
10000004,20000058,30000404,U-ITH5,-0.000046
10000004,20000058,30000405,N-4G5L,-0.000077
10000004,20000058,30000406,RB-2EA,-0.000042
10000004,20000058,30000407,ZK5-42,-0.000125
10000004,20000059,30000408,YRZ-E4,-0.000013
10000004,20000059,30000409,A3-PAT,-0.000015
10000004,20000059,30000410,H55-2R,-0.000014
10000004,20000059,30000411,P6-DBM,-0.000019
10000004,20000059,30000412,9XI-0X,-0.000011
10000004,20000059,30000413,Q8T-MC,-0.000008
10000004,20000060,30000414,Z-YOJ9,-0.001513
10000004,20000060,30000415,4T4B-L,-0.001954
10000004,20000060,30000416,F-JB3H,-0.003766
10000004,20000060,30000417,XBO7-F,-0.00424
10000004,20000060,30000418,FI-449,-0.004284
10000004,20000060,30000419,UA7-U4,-0.005921
10000004,20000061,30000420,VM-QFU,-0.000005
10000004,20000061,30000421,PU-1Z8,-0.000005
10000004,20000061,30000422,IEZW-V,-0.000003
10000004,20000061,30000423,B-DXO9,-0.000002
10000004,20000061,30000424,1TS-WN,-0.000001
10000004,20000061,30000425,16-31U,-0.000001
10000004,20000061,30000426,H472-N,-0.000001
10000004,20000062,30000427,U8MM-3,-0.000008
10000004,20000062,30000428,3C-26I,-0.000009
10000004,20000062,30000429,9K-VDI,-0.000005
10000004,20000062,30000430,L-SDU7,-0.000017
10000004,20000062,30000431,4-IPWK,-0.000009
10000004,20000062,30000432,Q-KCK3,-0.000017
10000005,20000063,30000433,WU-FHQ,-0.260691
10000005,20000063,30000434,V-4DBR,-0.322565
10000005,20000063,30000435,B-5UFY,-0.401422
10000005,20000063,30000436,SK42-F,-0.315869
10000005,20000063,30000437,EU9-J3,-0.25102
10000005,20000063,30000438,PQRE-W,-0.620413
10000005,20000063,30000439,OEG-K9,-0.798487
10000005,20000064,30000440,0-W778,-0.217466
10000005,20000064,30000441,DG-8VJ,-0.352587
10000005,20000064,30000442,5J4K-9,-0.201572
10000005,20000064,30000443,MD-0AW,-0.199543
10000005,20000064,30000444,H-FGJO,-0.205113
10000005,20000064,30000445,1KAW-T,-0.402475
10000005,20000065,30000446,C5-SUU,-0.509026
10000005,20000065,30000447,XSUD-1,-0.337033
10000005,20000065,30000448,3-LJW3,-0.615269
10000005,20000065,30000449,ZLO3-V,-0.585749
10000005,20000065,30000450,P7MI-T,-0.404885
10000005,20000065,30000451,JFV-ID,-0.355765
10000005,20000065,30000452,3-3EZB,-0.507582
10000005,20000065,30000453,52CW-6,-0.458595
10000005,20000066,30000454,9-OUGJ,-0.360652
10000005,20000066,30000455,4NDT-W,-0.333607
10000005,20000066,30000456,GR-X26,-0.323718
10000005,20000066,30000457,6OU9-U,-0.315986
10000005,20000066,30000458,9N-0HF,-0.262374
10000005,20000066,30000459,U-OVFR,-0.309952
10000005,20000067,30000460,G3D-ZT,-0.335146
10000005,20000067,30000461,D-0UI0,-0.323092
10000005,20000067,30000462,L8-WNE,-0.437693
10000005,20000067,30000463,1-GBVE,-0.437498
10000005,20000067,30000464,GC-LTF,-0.264347
10000005,20000067,30000465,NB-ALM,-0.458769
10000005,20000068,30000466,LT-XI4,-0.244602
10000005,20000068,30000467,L-QQ6P,-0.35182
10000005,20000068,30000468,5OJ-G2,-0.469137
10000005,20000068,30000469,9-02G0,-0.474947
10000005,20000068,30000470,XA5-TY,-0.530378
10000005,20000068,30000471,M-XUZZ,-0.459449
10000005,20000069,30000472,OFVH-Y,-0.300379
10000005,20000069,30000473,2-X0PF,-0.377709
10000005,20000069,30000474,1-PGSG,-0.496553
10000005,20000069,30000475,QLPX-J,-0.278878
10000005,20000069,30000476,A-C5TC,-0.241472
10000005,20000069,30000477,RZ-PIY,-0.230585
10000005,20000069,30000478,FR46-E,-0.269145
10000005,20000070,30000479,SLVP-D,-0.572055
10000005,20000070,30000480,0-G8NO,-0.686598
10000005,20000070,30000481,QRFJ-Q,-0.52733
10000005,20000070,30000482,HZFJ-M,-0.714063
10000005,20000070,30000483,77S8-E,-0.819774
10000005,20000070,30000484,FMH-OV,-0.901115
10000005,20000071,30000485,TYB-69,-0.336896
10000005,20000071,30000486,EDQG-L,-0.21422
10000005,20000071,30000487,7-P1JO,-0.248771
10000005,20000071,30000488,T-0JWP,-0.238096
10000005,20000071,30000489,J-L9MA,-0.238463
10000005,20000071,30000490,DX-TAR,-0.235248
10000005,20000071,30000491,A-7XFN,-0.232001
10000005,20000071,30000492,O3-4MN,-0.252721
10000005,20000071,30000493,U-MFTL,-0.309553
10000005,20000072,30000494,8FN-GP,-0.511652
10000005,20000072,30000495,FIDY-8,-0.515209
10000005,20000072,30000496,X40H-9,-0.622517
10000005,20000072,30000497,F2W-C6,-0.709616
10000005,20000072,30000498,KZ9T-C,-0.77167
10000005,20000072,30000499,XW2H-V,-0.865577
10000005,20000073,30000500,F9O-U9,-0.169433
10000005,20000073,30000501,S-51XG,-0.14265
10000005,20000073,30000502,E-1XVP,-0.210391
10000005,20000073,30000503,E-ACV6,-0.15587
10000005,20000073,30000504,BOZ1-O,-0.152751
10000005,20000073,30000505,QIMO-2,-0.154503
10000005,20000073,30000506,Z-2Y2Y,-0.152473
10000005,20000073,30000507,Q0J-RH,-0.135172
10000005,20000074,30000508,SAI-T9,-0.306624
10000005,20000074,30000509,IAS-I5,-0.393201
10000005,20000074,30000510,K7S-FF,-0.336389
10000005,20000074,30000511,RT-9WL,-0.500871
10000005,20000074,30000512,O5Q7-U,-0.602105
10000005,20000074,30000513,62O-UE,-0.563763
10000005,20000075,30000514,U0W-DR,-0.244208
10000005,20000075,30000515,SY-UWN,-0.179213
10000005,20000075,30000516,DX-DFJ,-0.273561
10000005,20000075,30000517,X-31TE,-0.201282
10000005,20000075,30000518,DVWV-3,-0.362885
10000005,20000075,30000519,KE-0FB,-0.248539
10000005,20000075,30000520,I-9GI1,-0.201412
10000005,20000076,30000521,W6P-7U,-0.32279
10000005,20000076,30000522,0IF-26,-0.396336
10000005,20000076,30000523,H-93YV,-0.327532
10000005,20000076,30000524,E51-JE,-0.280103
10000005,20000076,30000525,7-A6XV,-0.452059
10000005,20000076,30000526,QXE-1N,-0.347631
10000005,20000076,30000527,U69-YC,-0.516499
10000005,20000076,30000528,L-L7PE,-0.559378
10000006,20000077,30000529,MKIG-5,-0.221997
10000006,20000077,30000530,YHEN-G,-0.199527
10000006,20000077,30000531,E-JCUS,-0.215627
10000006,20000077,30000532,W-QN5X,-0.272211
10000006,20000077,30000533,LP1M-Q,-0.243383
10000006,20000077,30000534,30-YOU,-0.266421
10000006,20000077,30000535,384-IN,-0.204379
10000006,20000077,30000536,4F89-U,-0.245349
10000006,20000077,30000537,G063-U,-0.295999
10000006,20000077,30000538,J7-BDX,-0.411093
10000006,20000078,30000539,MLQ-O9,-0.196437
10000006,20000078,30000540,L-FM3P,-0.170869
10000006,20000078,30000541,X-ARMF,-0.089626
10000006,20000078,30000542,8-OZU1,-0.180334
10000006,20000078,30000543,0TYR-T,-0.155502
10000006,20000078,30000544,GM-50Y,-0.166767
10000006,20000078,30000545,G9L-LP,-0.147849
10000006,20000079,30000546,MWA-5Q,-0.307662
10000006,20000079,30000547,H-HHTH,-0.421542
10000006,20000079,30000548,JQU-KY,-0.267341
10000006,20000079,30000549,UY5A-D,-0.404798
10000006,20000079,30000550,C-62I5,-0.117561
10000006,20000079,30000551,ZH-GKG,-0.125268
10000006,20000080,30000552,GPLB-C,-0.254697
10000006,20000080,30000553,GGE-5Q,-0.486731
10000006,20000080,30000554,5E-CMA,-0.420426
10000006,20000080,30000555,U104-3,-0.266764
10000006,20000080,30000556,M3-KAQ,-0.315805
10000006,20000080,30000557,6-L4YC,-0.241496
10000006,20000081,30000558,UM-SCG,-0.305073
10000006,20000081,30000559,F-3FOY,-0.412804
10000006,20000081,30000560,OAIG-0,-0.347397
10000006,20000081,30000561,UZ-QXW,-0.484818
10000006,20000081,30000562,5DE-QS,-0.373028
10000006,20000081,30000563,R0-DMM,-0.46858
10000006,20000081,30000564,5Q65-4,-0.620508
10000006,20000082,30000565,SR-4EK,-0.338158
10000006,20000082,30000566,0RI-OV,-0.294006
10000006,20000082,30000567,C-LTXS,-0.287824
10000006,20000082,30000568,C0O6-K,-0.296788
10000006,20000082,30000569,HD-AJ7,-0.313302
10000006,20000082,30000570,G9NE-B,-0.329905
10000006,20000082,30000571,SJJ-4F,-0.246615
10000006,20000083,30000572,F-QQ5N,-0.650523
10000006,20000083,30000573,1-7B6D,-0.692394
10000006,20000083,30000574,H6-EYX,-0.726284
10000006,20000083,30000575,U-HVIX,-0.661921
