TYPEID,GROUPID,TYPENAME,MARKETGROUPID
405,41,Micro Remote Shield Booster I,604
406,41,Micro Remote Shield Booster II,604
421,43,'Basic' Capacitor Recharger,665
434,46,5MN Microwarpdrive I,131
438,46,1MN Afterburner II,542
439,46,1MN Afterburner I,542
440,46,5MN Microwarpdrive II,131
442,47,Cargo Scanner I,711
443,48,Ship Scanner I,713
444,49,Survey Scanner I,714
447,52,Warp Scrambler I,1936
448,52,Warp Scrambler II,1936
450,53,Gatling Pulse Laser I,570
451,53,Dual Light Pulse Laser I,570
452,53,Dual Light Beam Laser I,567
453,53,Small Focused Pulse Laser I,570
454,53,Small Focused Beam Laser I,567
455,53,Quad Light Beam Laser I,568
456,53,Focused Medium Pulse Laser I,572
457,53,Focused Medium Beam Laser I,568
458,53,Heavy Pulse Laser I,572
459,53,Heavy Beam Laser I,568
460,53,Dual Heavy Pulse Laser I,573
461,53,Dual Heavy Beam Laser I,569
462,53,Mega Pulse Laser I,573
463,53,Mega Beam Laser I,569
464,53,Tachyon Beam Laser I,569
482,54,Miner II,1039
483,54,Miner I,1039
484,55,125mm Gatling AutoCannon I,574
485,55,150mm Light AutoCannon I,574
486,55,200mm AutoCannon I,574
487,55,250mm Light Artillery Cannon I,577
488,55,280mm Howitzer Artillery I,577
489,55,Dual 180mm AutoCannon I,575
490,55,220mm Vulcan AutoCannon I,575
491,55,425mm AutoCannon I,575
492,55,650mm Artillery Cannon I,578
493,55,720mm Howitzer Artillery I,578
494,55,Dual 425mm AutoCannon I,576
495,55,Dual 650mm Repeating Cannon I,576
496,55,800mm Repeating Cannon I,576
497,55,1200mm Artillery Cannon I,579
498,55,1400mm Howitzer Artillery I,579
499,509,Light Missile Launcher I,640
501,510,Heavy Missile Launcher I,642
503,508,Torpedo Launcher I,644
506,767,'Basic' Capacitor Power Relay,667
508,770,Basic Shield Flux Coil,687
509,768,'Basic' Capacitor Flux Coil,666
518,59,Basic Gyrostabilizer,646
519,59,Gyrostabilizer II,646
520,59,Gyrostabilizer I,646
521,60,Basic Damage Control,615
522,61,Micro Capacitor Battery I,702
523,62,Small Armor Repairer I,1049
524,63,Small Hull Repairer I,1053
526,65,Stasis Webifier I,683
527,65,Stasis Webifier II,683
529,67,Small Remote Capacitor Transmitter I,695
530,68,Small Nosferatu I,692
533,71,Small Energy Neutralizer I,689
561,74,75mm Gatling Rail I,564
562,74,Light Electron Blaster I,561
563,74,Light Ion Blaster I,561
564,74,Light Neutron Blaster I,561
565,74,150mm Railgun I,564
566,74,Heavy Electron Blaster I,562
567,74,Dual 150mm Railgun I,565
568,74,Heavy Neutron Blaster I,562
569,74,Heavy Ion Blaster I,562
570,74,250mm Railgun I,565
571,74,Electron Blaster Cannon I,563
572,74,Dual 250mm Railgun I,566
573,74,Neutron Blaster Cannon I,563
574,74,425mm Railgun I,566
575,74,Ion Blaster Cannon I,563
577,76,Medium Capacitor Booster I,700
578,77,Adaptive Invulnerability Field I,1696
580,80,ECM Burst I,678
581,82,Passive Targeter I,672
582,25,Bantam,61
583,25,Condor,61
584,25,Griffin,61
585,25,Slasher,64
586,25,Probe,64
587,25,Rifter,64
588,237,Reaper,1819
589,25,Executioner,72
590,25,Inquisitor,72
591,25,Tormentor,72
592,25,Navitas,77
593,25,Tristan,77
594,25,Incursus,77
595,25,Gallente Police Ship,
596,237,Impairor,1816
597,25,Punisher,72
598,25,Breacher,64
599,25,Burst,64
600,25,Minmatar Peacekeeper Ship,
601,237,Ibis,1817
602,25,Kestrel,61
603,25,Merlin,61
605,25,Heron,61
606,237,Velator,1818
607,25,Imicus,77
608,25,Atron,77
609,25,Maulus,77
613,25,Devourer,
614,25,Fury,
615,237,Immolator,1619
616,25,Medusa,
617,237,Echo,1619
618,25,Lynx,
619,25,Swordspine,
620,26,Osprey,75
621,26,Caracal,75
622,26,Stabber,73
623,26,Moa,75
624,26,Maller,74
625,26,Augoror,74
626,26,Vexor,76
627,26,Thorax,76
628,26,Arbitrator,74
629,26,Rupture,73
630,26,Bellicose,73
631,26,Scythe,73
632,26,Blackbird,75
633,26,Celestis,76
634,26,Exequror,76
635,26,Opux Luxury Yacht,1699
638,27,Raven,80
639,27,Tempest,78
640,27,Scorpion,80
641,27,Megathron,81
642,27,Apocalypse,79
643,27,Armageddon,79
644,27,Typhoon,78
645,27,Dominix,81
648,28,Badger,84
649,28,Tayra,84
650,28,Nereus,83
651,28,Hoarder,82
652,28,Mammoth,82
653,28,Wreathe,82
654,28,Kryos,83
655,28,Epithal,83
656,28,Miasmos,83
657,28,Iteron Mark V,83
670,29,Capsule,
671,30,Erebus,815
672,31,Caldari Shuttle,396
681,104,Clone Grade Beta Blueprint,
682,104,Clone Grade Gamma Blueprint,
683,105,Bantam Blueprint,261
684,105,Condor Blueprint,261
685,105,Griffin Blueprint,261
686,106,Osprey Blueprint,275
687,106,Caracal Blueprint,275
688,107,Raven Blueprint,280
689,105,Slasher Blueprint,264
690,105,Probe Blueprint,264
691,105,Rifter Blueprint,264
692,106,Stabber Blueprint,273
693,107,Tempest Blueprint,278
784,134,Miner II Blueprint,
785,134,Miner I Blueprint,338
786,136,Light Missile Launcher I Blueprint,340
788,136,Heavy Missile Launcher I Blueprint,340
790,136,Torpedo Launcher I Blueprint,340
803,166,Mjolnir Cruise Missile Blueprint,1526
804,166,Scourge Cruise Missile Blueprint,1526
805,166,Inferno Cruise Missile Blueprint,1526
806,166,Nova Cruise Missile Blueprint,1526
807,166,Nova Heavy Missile Blueprint,1527
808,166,Mjolnir Heavy Missile Blueprint,1527
809,166,Inferno Heavy Missile Blueprint,1527
810,166,Scourge Heavy Missile Blueprint,1527
811,166,Scourge Light Missile Blueprint,1528
812,166,Inferno Light Missile Blueprint,1528
813,166,Mjolnir Light Missile Blueprint,1528
814,166,Nova Light Missile Blueprint,1528
819,135,125mm Gatling AutoCannon I Blueprint,296
820,135,150mm Light AutoCannon I Blueprint,296
821,135,200mm AutoCannon I Blueprint,296
822,135,250mm Light Artillery Cannon I Blueprint,296
823,135,280mm Howitzer Artillery I Blueprint,296
824,135,Dual 180mm AutoCannon I Blueprint,297
825,135,220mm Vulcan AutoCannon I Blueprint,297
826,135,425mm AutoCannon I Blueprint,297
827,135,650mm Artillery Cannon I Blueprint,297
828,135,720mm Howitzer Artillery I Blueprint,297
829,135,Dual 425mm AutoCannon I Blueprint,298
830,135,Dual 650mm Repeating Cannon I Blueprint,298
831,135,800mm Repeating Cannon I Blueprint,298
832,135,1200mm Artillery Cannon I Blueprint,298
833,135,1400mm Howitzer Artillery I Blueprint,298
834,133,Gatling Pulse Laser I Blueprint,292
835,133,Dual Light Pulse Laser I Blueprint,292
836,133,Dual Light Beam Laser I Blueprint,292
837,133,Small Focused Pulse Laser I Blueprint,292
838,133,Small Focused Beam Laser I Blueprint,292
839,133,Quad Light Beam Laser I Blueprint,293
840,133,Focused Medium Pulse Laser I Blueprint,293
841,133,Focused Medium Beam Laser I Blueprint,293
842,133,Heavy Pulse Laser I Blueprint,293
843,133,Heavy Beam Laser I Blueprint,293
844,133,Dual Heavy Pulse Laser I Blueprint,295
845,133,Dual Heavy Beam Laser I Blueprint,295
846,133,Mega Pulse Laser I Blueprint,295
847,133,Mega Beam Laser I Blueprint,295
848,133,Tachyon Beam Laser I Blueprint,295
879,165,Carbonized Lead S Blueprint,313
880,165,Nuclear S Blueprint,313
881,165,Proton S Blueprint,313
882,165,Depleted Uranium S Blueprint,313
883,165,Titanium Sabot S Blueprint,313
884,165,Fusion S Blueprint,313
885,165,Phased Plasma S Blueprint,313
886,165,EMP S Blueprint,313
887,165,Carbonized Lead M Blueprint,312
888,165,Nuclear M Blueprint,312
889,165,Proton M Blueprint,312
890,165,Depleted Uranium M Blueprint,312
891,165,Titanium Sabot M Blueprint,312
892,165,Fusion M Blueprint,312
893,165,Phased Plasma M Blueprint,312
894,165,EMP M Blueprint,312
895,165,Carbonized Lead L Blueprint,309
896,165,Nuclear L Blueprint,309
897,165,Proton L Blueprint,309
898,165,Depleted Uranium L Blueprint,309
899,165,Titanium Sabot L Blueprint,309
900,165,Fusion L Blueprint,309
901,165,Phased Plasma L Blueprint,309
902,165,EMP L Blueprint,309
935,105,Reaper Blueprint,
936,105,Executioner Blueprint,272
937,105,Inquisitor Blueprint,272
938,105,Tormentor Blueprint,272
939,105,Navitas Blueprint,277
940,105,Tristan Blueprint,277
941,105,Incursus Blueprint,277
943,105,Impairor Blueprint,
944,105,Punisher Blueprint,272
945,105,Breacher Blueprint,264
946,105,Burst Blueprint,264
947,105,Minmatar Peacekeeper Ship Blueprint,
948,105,Ibis Blueprint,
949,105,Kestrel Blueprint,261
950,105,Merlin Blueprint,261
952,105,Heron Blueprint,261
953,105,Velator Blueprint,
954,105,Imicus Blueprint,277
955,105,Atron Blueprint,277
956,105,Maulus Blueprint,277
960,105,Devourer Blueprint,
961,105,Fury Blueprint,
962,105,Immolator Blueprint,
963,105,Medusa Blueprint,
964,105,Echo Blueprint,
965,105,Lynx Blueprint,
966,105,Swordspine Blueprint,
967,111,Caldari Shuttle Blueprint,416
968,106,Moa Blueprint,275
969,106,Maller Blueprint,274
970,106,Augoror Blueprint,274
971,106,Vexor Blueprint,276
972,106,Thorax Blueprint,276
973,106,Arbitrator Blueprint,274
974,106,Rupture Blueprint,273
975,106,Bellicose Blueprint,273
976,106,Scythe Blueprint,273
977,106,Blackbird Blueprint,275
978,106,Celestis Blueprint,276
979,106,Exequror Blueprint,276
983,108,Badger Blueprint,284
984,108,Tayra Blueprint,284
985,108,Nereus Blueprint,283
986,108,Hoarder Blueprint,282
987,108,Mammoth Blueprint,282
988,108,Wreathe Blueprint,282
989,108,Kryos Blueprint,283
990,108,Epithal Blueprint,283
991,108,Miasmos Blueprint,283
992,108,Iteron Mark V Blueprint,283
994,107,Scorpion Blueprint,280
995,107,Megathron Blueprint,281
996,107,Apocalypse Blueprint,279
997,107,Armageddon Blueprint,279
998,107,Typhoon Blueprint,278
999,107,Dominix Blueprint,281
1002,110,Erebus Blueprint,886
1010,118,Small Shield Extender I Blueprint,1549
1013,118,Small Shield Extender II Blueprint,
1026,119,Shield Recharger I Blueprint,1551
1027,119,Shield Recharger II Blueprint,
1032,120,Small Shield Booster I Blueprint,1552
1033,120,Small Shield Booster II Blueprint,
1067,126,5MN Microwarpdrive I Blueprint,331
1071,126,1MN Afterburner II Blueprint,
1072,126,1MN Afterburner I Blueprint,1525
1073,126,5MN Microwarpdrive II Blueprint,
1074,127,Cargo Scanner I Blueprint,325
1075,128,Ship Scanner I Blueprint,325
1076,129,Survey Scanner I Blueprint,325
1079,132,Warp Scrambler I Blueprint,1939
1080,132,Warp Scrambler II Blueprint,
1095,139,Gyrostabilizer II Blueprint,
1096,139,Gyrostabilizer I Blueprint,343
1099,142,Small Armor Repairer I Blueprint,1536
1100,143,Small Hull Repairer I Blueprint,1537
1102,145,Stasis Webifier I Blueprint,1570
1103,145,Stasis Webifier II Blueprint,
1105,147,Small Remote Capacitor Transmitter I Blueprint,1562
1106,148,Small Nosferatu I Blueprint,1564
1109,151,Small Energy Neutralizer I Blueprint,1565
1112,154,75mm Gatling Rail I Blueprint,291
1113,154,Light Electron Blaster I Blueprint,291
1114,154,Light Ion Blaster I Blueprint,291
1115,154,Light Neutron Blaster I Blueprint,291
1116,154,150mm Railgun I Blueprint,291
1117,154,Heavy Electron Blaster I Blueprint,290
1118,154,Dual 150mm Railgun I Blueprint,290
1119,154,Heavy Neutron Blaster I Blueprint,290
1120,154,Heavy Ion Blaster I Blueprint,290
1121,154,250mm Railgun I Blueprint,290
1122,154,Electron Blaster Cannon I Blueprint,289
1123,154,Dual 250mm Railgun I Blueprint,289
1124,154,Neutron Blaster Cannon I Blueprint,289
1125,154,425mm Railgun I Blueprint,289
1126,154,Ion Blaster Cannon I Blueprint,289
1128,156,Medium Capacitor Booster I Blueprint,1563
1129,157,Adaptive Invulnerability Field I Blueprint,1548
1130,167,Iron Charge S Blueprint,307
1131,167,Tungsten Charge S Blueprint,307
1132,167,Iridium Charge S Blueprint,307
1133,167,Lead Charge S Blueprint,307
1134,167,Thorium Charge S Blueprint,307
1135,167,Uranium Charge S Blueprint,307
1136,167,Plutonium Charge S Blueprint,307
1137,167,Antimatter Charge S Blueprint,307
1138,167,Iron Charge M Blueprint,308
1139,167,Tungsten Charge M Blueprint,308
1140,167,Iridium Charge M Blueprint,308
1141,167,Lead Charge M Blueprint,308
1142,167,Thorium Charge M Blueprint,308
1143,167,Uranium Charge M Blueprint,308
1144,167,Plutonium Charge M Blueprint,308
1145,167,Antimatter Charge M Blueprint,308
1146,167,Iron Charge L Blueprint,306
1147,167,Tungsten Charge L Blueprint,306
1148,167,Iridium Charge L Blueprint,306
1149,167,Lead Charge L Blueprint,306
1150,167,Thorium Charge L Blueprint,306
1151,167,Uranium Charge L Blueprint,306
1152,167,Plutonium Charge L Blueprint,306
1153,167,Antimatter Charge L Blueprint,306
1154,168,Radio S Blueprint,302
1155,168,Microwave S Blueprint,302
1156,168,Infrared S Blueprint,302
1157,168,Standard S Blueprint,302
1158,168,Ultraviolet S Blueprint,302
1159,168,Xray S Blueprint,302
1160,168,Gamma S Blueprint,302
1161,168,Multifrequency S Blueprint,302
1162,168,Radio M Blueprint,303
1163,168,Microwave M Blueprint,303
1164,168,Infrared M Blueprint,303
1165,168,Standard M Blueprint,303
1166,168,Ultraviolet M Blueprint,303
1167,168,Xray M Blueprint,303
1168,168,Gamma M Blueprint,303
1169,168,Multifrequency M Blueprint,303
1170,168,Radio L Blueprint,305
1171,168,Microwave L Blueprint,305
1172,168,Infrared L Blueprint,305
1173,168,Standard L Blueprint,305
1174,168,Ultraviolet L Blueprint,305
1175,168,Xray L Blueprint,305
1176,168,Gamma L Blueprint,305
1177,168,Multifrequency L Blueprint,305
1178,169,Cap Booster 25 Blueprint,339
1179,169,Cap Booster 50 Blueprint,339
1182,96,Auto Targeting System I,670
1183,62,Small Armor Repairer II,1049
1184,142,Small Armor Repairer II Blueprint,
1185,61,Small Capacitor Battery I,703
1186,141,Small Capacitor Battery I Blueprint,1558
1190,67,Small Remote Capacitor Transmitter II,695
1191,147,Small Remote Capacitor Transmitter II Blueprint,
1192,764,'Basic' Overdrive Injector System,1087
1193,98,Basic EM Plating,1668
1194,99,Amarr Sentry Gun,
1195,43,Cap Recharger I,665
1196,123,Cap Recharger I Blueprint,1555
1197,98,EM Plating I,1668
1198,98,EM Plating II,1668
1201,100,Wasp I,839
1202,101,Civilian Mining Drone,158
1204,163,EM Plating I Blueprint,1544
1205,163,EM Plating II Blueprint,
1208,162,Auto Targeting System I Blueprint,1579
1210,160,ECM Burst I Blueprint,1568
1212,161,Passive Targeter I Blueprint,1582
1214,176,Wasp I Blueprint,359
1215,170,Heavy Defender Missile I Blueprint,316
1216,166,Mjolnir Auto-Targeting Light Missile I Blueprint,315
1217,174,Python Mine Blueprint,
1218,177,Civilian Mining Drone Blueprint,358
1220,166,Scourge Rocket Blueprint,318
1221,166,Scourge Torpedo Blueprint,390
1223,451,Bistot,514
1224,459,Pyroxeres,515
1225,452,Crokite,521
1226,456,Jaspet,529
1227,469,Omber,526
1228,460,Scordite,519
1229,467,Gneiss,525
1230,462,Veldspar,518
1231,455,Hemorphite,528
1232,453,Dark Ochre,522
1233,237,Polaris Enigma Frigate,
1236,764,Overdrive Injector System II,1087
1237,158,Overdrive Injector System II Blueprint,
1240,78,'Basic' Reinforced Bulkheads,1195
1242,763,'Basic' Nanofiber Internal Structure,1196
1244,764,Overdrive Injector System I,1087
1245,158,Overdrive Injector System I Blueprint,332
1246,768,Capacitor Flux Coil I,666
1247,137,Capacitor Flux Coil I Blueprint,1556
1248,768,Capacitor Flux Coil II,666
1249,137,Capacitor Flux Coil II Blueprint,
1254,770,Shield Flux Coil I,687
1255,137,Shield Flux Coil I Blueprint,1547
1256,770,Shield Flux Coil II,687
1257,137,Shield Flux Coil II Blueprint,
1262,98,Basic Explosive Plating,1667
1264,98,Explosive Plating I,1667
1265,163,Explosive Plating I Blueprint,1544
1266,98,Explosive Plating II,1667
1267,163,Explosive Plating II Blueprint,
1272,98,Basic Layered Plating,1669
1274,98,Layered Plating I,1669
1275,163,Layered Plating I Blueprint,1544
1276,98,Layered Plating II,1669
1277,163,Layered Plating II Blueprint,
1282,98,Basic Kinetic Plating,1666
1284,98,Kinetic Plating I,1666
1285,163,Kinetic Plating I Blueprint,1544
1286,98,Kinetic Plating II,1666
1287,163,Kinetic Plating II Blueprint,
1292,98,Basic Thermic Plating,1665
1294,98,Thermic Plating I,1665
1295,163,Thermic Plating I Blueprint,1544
1296,98,Thermic Plating II,1665
1297,163,Thermic Plating II Blueprint,
1302,98,Basic Adaptive Nano Plating,1670
1304,98,Adaptive Nano Plating I,1670
1305,163,Adaptive Nano Plating I Blueprint,1544
1306,98,Adaptive Nano Plating II,1670
1307,163,Adaptive Nano Plating II Blueprint,
1315,765,'Basic' Expanded Cargohold,1197
1317,765,Expanded Cargohold I,1197
1318,158,Expanded Cargohold I Blueprint,335
1319,765,Expanded Cargohold II,1197
1320,158,Expanded Cargohold II Blueprint,
1333,78,Reinforced Bulkheads I,1195
1334,158,Reinforced Bulkheads I Blueprint,335
1335,78,Reinforced Bulkheads II,1195
1336,158,Reinforced Bulkheads II Blueprint,
1351,769,Basic Reactor Control Unit,659
1353,769,Reactor Control Unit I,659
1354,137,Reactor Control Unit I Blueprint,1561
1355,769,Reactor Control Unit II,659
1356,137,Reactor Control Unit II Blueprint,
1373,1,CharacterAmarr,
1374,1,CharacterNiKunni,
1375,1,CharacterCivire,
1376,1,CharacterDeteis,
1377,1,CharacterGallente,
1378,1,CharacterIntaki,
1379,1,CharacterSebiestor,
1380,1,CharacterBrutor,
1381,1,CharacterStatic,
1382,1,CharacterModifier,
1383,1,CharacterAchura,
1384,1,CharacterJinMei,
1385,1,CharacterKhanid,
1386,1,CharacterVherokior,
1401,762,'Basic' Inertial Stabilizers,1086
1403,762,Inertial Stabilizers I,1086
1404,158,Inertial Stabilizers I Blueprint,332
1405,762,Inertial Stabilizers II,1086
1406,158,Inertial Stabilizers II Blueprint,
1419,57,Basic Shield Power Relay,688
1422,57,Shield Power Relay II,688
1423,137,Shield Power Relay II Blueprint,
1436,96,Auto Targeting System II,670
1437,162,Auto Targeting System II Blueprint,
1445,767,Capacitor Power Relay I,667
1446,137,Capacitor Power Relay I Blueprint,1557
1447,767,Capacitor Power Relay II,667
1448,137,Capacitor Power Relay II Blueprint,
1529,15,Caldari Administrative Station,
1530,15,Caldari Research Station,
1531,15,Caldari Trading Station,
1537,766,'Basic' Power Diagnostic System,658
1539,766,Power Diagnostic System I,658
1540,137,Power Diagnostic System I Blueprint,1560
1541,766,Power Diagnostic System II,658
1542,137,Power Diagnostic System II Blueprint,
1547,72,Small Proton Smartbomb I,382
1548,152,Small Proton Smartbomb I Blueprint,341
1549,72,Small Proton Smartbomb II,382
1550,152,Small Proton Smartbomb II Blueprint,
1551,72,Small Graviton Smartbomb I,382
1552,152,Small Graviton Smartbomb I Blueprint,341
1553,72,Small Graviton Smartbomb II,382
1554,152,Small Graviton Smartbomb II Blueprint,
1557,72,Small Plasma Smartbomb I,382
1558,152,Small Plasma Smartbomb I Blueprint,341
1559,72,Small Plasma Smartbomb II,382
1560,152,Small Plasma Smartbomb II Blueprint,
1563,72,Small EMP Smartbomb I,382
1564,152,Small EMP Smartbomb I Blueprint,341
1565,72,Small EMP Smartbomb II,382
1566,152,Small EMP Smartbomb II Blueprint,
1601,190,Amarr Bonus,
1602,190,Ni-Kunni Bonus,
1603,190,Civire Bonus,
1604,190,Deteis Bonus,
1605,190,Gallente Bonus,
1606,190,Intaki Bonus,
1607,190,Sebiestor Bonus,
1608,190,Brutor Bonus,
1611,191,Computer Empathy Bonus,
1612,191,Ordered Mind Bonus,
1613,191,Standard DNA Pattern Bonus,
1614,191,Killer Instinct Bonus,
1615,191,Deft Hands Bonus,
1616,191,Structural Understanding Bonus,
1617,191,Creative Bonus,
1618,191,Glib Tongue Bonus,
1619,191,August Demeanor Bonus,
1620,191,Superior Motion Sense Bonus,
1621,191,High-G Tolerance Bonus,
1622,191,Vector Reckoning Bonus,
1623,191,Stratum Form Feel Bonus,
1624,191,Doctrine Ingrained Bonus,
1625,191,Three Dimensional Thinking Bonus,
1626,191,Swift Neural Grafting Bonus,
1627,191,Booster Immunity Bonus,
1628,193,Algiophobia Bonus,
1629,193,Barophobia Bonus,
1630,193,Cenophobia Bonus,
1631,193,Claustrophobia Bonus,
1632,193,Monophobia Bonus,
1633,193,Mysophobia Bonus,
1634,193,Taphephobia Bonus,
1635,193,Xenophobia Bonus,
1636,192,Mechanical Inaptitude Bonus,
1639,192,Weak Double-helix Bond Bonus,
1640,192,Short Attention Span Bonus,
1641,192,Wasteful Bonus,
1642,192,Trigger-happy Bonus,
1643,192,Epileptic Bonus,
1644,192,Strong Immunity System Bonus,
1650,195,Amarr Military Academy Pilot Bonus,
1651,195,Amarr Military Academy Gunner Bonus,
1652,195,Amarr Technical School Engineering Bonus,
1653,195,Amarr Technical School Electronics Bonus,
1654,195,Amarr Business School Commerce Bonus,
1655,195,Amarr Business School Industry Bonus,
1657,196,Caldari Military Academy Pilot Bonus,
1658,196,Caldari Military Academy Gunner Bonus,
1659,196,Caldari Technical School Engineering Bonus,
1660,196,Caldari Technical School Electronics Bonus,
1661,196,Caldari Business School Commerce Bonus,
1662,196,Caldari Business School Industry Bonus,
1663,197,Gallente Military Academy Pilot Bonus,
1664,197,Gallente Military Academy Gunner Bonus,
1665,197,Gallente Technical School Engineering Bonus,
1666,197,Gallente Technical School Electronics Bonus,
1667,197,Gallente Business School Commerce Bonus,
1668,197,Gallente Business School Industry Bonus,
1669,198,Minmatar Military Academy Pilot Bonus,
1670,198,Minmatar Military Academy Gunner Bonus,
1671,198,Minmatar Technical School Engineering Bonus,
1672,198,Minmatar Technical School Electronic Bonus,
1673,198,Minmatar Business School Commerce Bonus,
1674,198,Minmatar Business School Industry Bonus,
1675,199,Bounty Hunter Bonus,
1676,199,Scientist Bonus,
1677,199,Industrialist Bonus,
1678,199,Corporate Magnate Bonus,
1679,199,Covert-op Bonus,
1680,199,Navy Captain Bonus,
1798,295,Basic EM Ward Amplifier,1691
1800,295,Basic Thermic Dissipation Amplifier,1688
1802,295,Basic Kinetic Deflection Amplifier,1689
1804,295,Basic Explosive Deflection Amplifier,1690
1808,295,EM Ward Amplifier I,1691
1809,296,EM Ward Amplifier I Blueprint,1554
1810,394,Scourge Auto-Targeting Light Missile I,914
1811,166,Scourge Auto-Targeting Light Missile I Blueprint,315
1814,394,Nova Auto-Targeting Light Missile I,914
1815,166,Nova Auto-Targeting Light Missile I Blueprint,315
1816,394,Inferno Auto-Targeting Light Missile I,914
1817,166,Inferno Auto-Targeting Light Missile I Blueprint,315
1818,395,Scourge Auto-Targeting Heavy Missile I,914
1819,166,Scourge Auto-Targeting Heavy Missile I Blueprint,315
1820,395,Mjolnir Auto-Targeting Heavy Missile I,914
1821,166,Mjolnir Auto-Targeting Heavy Missile I Blueprint,315
1822,395,Nova Auto-Targeting Heavy Missile I,914
1823,166,Nova Auto-Targeting Heavy Missile I Blueprint,315
1824,395,Inferno Auto-Targeting Heavy Missile I,914
1825,166,Inferno Auto-Targeting Heavy Missile I Blueprint,315
1826,396,Scourge Auto-Targeting Cruise Missile I,914
1827,166,Scourge Auto-Targeting Cruise Missile I Blueprint,315
1828,396,Mjolnir Auto-Targeting Cruise Missile I,914
